S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
236,2023-01-02,450,CORBL,Corporate Development Bank Limited,307.2000,310.0000,296.0000,306.0000,5332,1623374.9000,307.0000,994.0000,211.3000,2023-01-02T14:56:02.292144,306.0000,67,304.45,1530.00
237,2023-01-02,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,669.9000,675.0000,640.0000,665.0000,10356,6869314.9000,664.0000,1020.0000,559.0000,2023-01-02T14:58:02.134253,665.0000,116,663.31,7632.51
238,2023-01-02,502,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,1176.0000,1244.0000,1141.7000,1232.0000,11235,13449588.1000,1153.0000,1384.0000,749.0000,2023-01-02T14:59:53.328216,1232.0000,135,1197.11,6086.08
239,2023-01-02,561,SINDU,Sindhu Bikash Bank Ltd,277.0000,289.5000,272.0000,286.0000,14301,4024100.3000,276.0000,460.7000,220.6000,2023-01-02T14:59:59.870973,286.0000,78,281.38,1594.32
240,2023-01-02,610,RIDI,Ridi Power Company Limited,494.5000,506.0000,488.1000,497.9000,119911,59782721.4000,495.0000,838.0000,427.4000,2023-01-02T14:59:58.885625,497.9000,542,498.55,5508.56
241,2023-01-02,706,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,781.9000,805.0000,767.0000,797.0000,7721,6118070.8000,797.8000,1373.4000,666.0000,2023-01-02T14:59:44.269135,797.0000,70,792.39,6312.12
242,2023-01-02,720,SWMFPO,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter,402.0000,402.0000,394.0000,394.0000,5535,2191854.0000,402.0000,883.0000,394.0000,2023-01-02T11:33:22.398243,394.0000,2,395.99,3120.42
243,2023-01-02,2776,RADHI,Radhi Bidyut Company Ltd,224.0000,232.0000,223.5000,230.0000,57461,13087956.6000,227.6000,775.0000,195.3000,2023-01-02T14:59:37.114206,230.0000,297,227.77,3854.75
244,2023-01-02,2835,NBF2,NABIL BALANCED FUND-2,7.9100,8.2000,7.9100,8.2000,39250,317952.5000,7.9500,11.8500,7.4500,2023-01-02T14:47:06.741728,8.2000,8,8.10,918.40
245,2023-01-02,2845,AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,1548.0000,1610.0000,1539.0000,1575.0000,5594,8792408.3000,1548.0000,1790.0000,390.7600,2023-01-02T14:59:33.479929,1575.0000,147,1571.75,1874.25
246,2023-01-02,2860,SAPDBL,Saptakoshi Development Bank Ltd,234.0000,248.0000,234.0000,243.0000,20749,5032286.8000,238.0000,410.0000,178.1000,2023-01-02T14:59:56.764996,243.0000,108,242.53,2027.44
247,2023-01-02,2862,CMF2,CITIZENS MUTUAL FUND 2,8.0000,8.0000,7.7500,7.8000,16150,127015.0000,7.9000,10.8900,7.2400,2023-01-02T14:59:09.616879,7.8000,11,7.86,436.80
248,2023-01-02,2898,NRN,NRN Infrastructure and Development Limited,444.8000,453.6000,430.0000,444.0000,13567,6022541.1000,436.1000,836.0000,385.0000,2023-01-02T14:59:57.543760,444.0000,130,443.91,5431.06
249,2023-01-02,2924,GLH,GreenLife Hydropower Limited,261.0000,282.5000,257.0000,275.0000,10984,3034956.0000,266.0000,527.3000,219.0000,2023-01-02T14:59:59.769578,275.0000,101,276.30,4950.00
250,2023-01-02,8026,NYADI,Nyadi Hydropower Limited,289.3000,313.0000,284.2000,297.2000,3558,1062391.4000,295.2000,566.0000,241.0000,2023-01-02T14:59:33.757645,297.2000,98,298.59,4458.00
251,2023-01-02,8066,RFPL,River Falls Power Limited,246.9000,251.7000,234.0000,242.2000,19040,4693573.4000,243.0000,325.0000,200.0000,2023-01-02T14:59:56.761375,242.2000,262,246.51,1695.40
252,2023-01-02,8122,PPL,People's Power Limited,224.0000,242.3000,219.3000,235.0000,21228,4935750.5000,228.0000,305.8000,190.0000,2023-01-02T14:59:46.890743,235.0000,527,232.51,1486.61
253,2023-01-02,8126,SIKLES,Sikles Hydropower Limited,416.5000,445.0000,410.0000,437.0000,11666,5000563.4000,425.0000,445.0000,315.5000,2023-01-02T14:59:59.375612,437.0000,324,428.64,3714.50
