Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NEPSE,5/3/2016,1471.95,1471.95,1471.95,1471.95,0,0
NEPSE,5/2/2016,1474.47,1474.47,1474.47,1474.47,0,0
NEPSE,4/28/2016,1464.91,1464.91,1464.91,1464.91,0,0
NEPSE,4/27/2016,1458.38,1458.38,1458.38,1458.38,0,0
NEPSE,4/26/2016,1453.11,1453.11,1453.11,1453.11,0,0
NEPSE,4/25/2016,1461.75,1461.75,1461.75,1461.75,0,0
NEPSE,4/24/2016,1454.35,1454.35,1454.35,1454.35,0,0
NEPSE,4/21/2016,1441.67,1441.67,1441.67,1441.67,0,0
NEPSE,4/20/2016,1440.69,1440.69,1440.69,1440.69,0,0
NEPSE,4/19/2016,1430.81,1430.81,1430.81,1430.81,0,0
NEPSE,4/18/2016,1428.6,1428.6,1428.6,1428.6,0,0
NEPSE,4/17/2016,1409.43,1409.43,1409.43,1409.43,0,0
NEPSE,4/14/2016,1405.78,1405.78,1405.78,1405.78,0,0
NEPSE,4/12/2016,1388.63,1388.63,1388.63,1388.63,0,0
NEPSE,4/11/2016,1383.85,1383.85,1383.85,1383.85,0,0
NEPSE,4/10/2016,1382.42,1382.42,1382.42,1382.42,0,0
NEPSE,4/6/2016,1377.42,1377.42,1377.42,1377.42,0,0
